Date;Time;M01 WIND SPEED (AVG);Pyranometer 0 - 2000 W/m² (AVG); Precipitation (SUM);Daily ETo (SUM); Rain Duration (SUM); Barometric Pressure (AVG); Temperature (AVG); Relative Humidity (AVG);WIND DIRECTION (AVG)
30/9/2015;0:00:00;1.2;272.1;0.7;3.99;8.7;896.6;21.0;62.1;180.5
30/10/2015;0:00:00;1.1;216.5;2.7;3.78;50.0;897.3;20.4;58.9;180.3
29/11/2015;0:00:00;1.6;126.4;27.6;3.87;291.8;897.5;14.6;77.8;186.1
29/12/2015;0:00:00;1.2;130.3;4.4;3.60;191.9;899.3;11.0;70.5;207.6
28/1/2016;0:00:00;1.0;75.2;15.5;2.81;476.0;904.0;6.2;79.8;190.4
27/2/2016;0:00:00;1.7;148.0;138.2;70.17;2255.9;898.0;9.5;61.9;203.1
28/3/2016;0:00:00;1.8;157.3;11.9;7.59;192.4;898.2;10.1;59.3;204.1
27/4/2016;0:00:00;1.9;174.5;20.5;10.57;372.0;892.4;9.0;64.4;197.4
27/5/2016;0:00:00;1.3;273.2;0.0;17.67;0.0;895.1;15.6;44.9;193.4
26/6/2016;0:00:00;1.2;273.2;7.0;21.18;246.7;895.1;16.1;55.9;177.2
26/7/2016;0:00:00;1.1;311.3;0.3;27.20;15.0;895.8;21.9;46.3;165.9
25/8/2016;0:00:00;1.3;331.3;0.0;33.87;0.0;895.2;21.1;51.1;174.4
24/9/2016;0:00:00;1.2;278.6;0.0;33.40;0.0;895.8;21.2;57.3;179.1
24/10/2016;0:00:00;1.2;208.8;13.9;23.99;126.0;897.7;18.0;62.2;179.6
23/11/2016;0:00:00;1.0;159.0;35.7;20.44;544.0;899.0;15.8;63.5;182.0
23/12/2016;0:00:00;1.2;116.1;35.9;13.38;536.0;899.0;10.5;75.7;189.5
22/1/2017;0:00:00;1.2;62.5;139.8;5.90;2639.1;899.3;3.2;86.4;171.7
21/2/2017;0:00:00;1.8;96.5;125.5;9.90;2748.2;895.0;2.5;82.7;222.0
23/3/2017;0:00:00;1.6;157.0;307.9;58.13;5023.2;894.5;7.2;74.1;185.4
22/4/2017;0:00:00;1.7;169.1;108.0;18.89;1675.3;892.9;7.8;73.5;182.2
22/5/2017;0:00:00;1.1;243.8;10.3;30.68;225.0;895.7;11.3;61.0;176.3
21/6/2017;0:00:00;1.1;264.9;73.9;42.12;870.9;895.2;15.9;58.6;183.4
21/7/2017;0:00:00;1.0;314.4;9.5;51.87;220.0;896.2;20.3;57.4;163.6
20/8/2017;0:00:00;1.2;319.6;1.3;60.80;74.5;894.6;22.2;50.8;175.2
19/9/2017;0:00:00;1.3;285.8;0.0;57.53;0.0;895.0;20.6;60.5;184.4
19/10/2017;0:00:00;1.1;245.7;18.7;50.99;276.0;897.1;19.8;50.2;182.0
18/11/2017;0:00:00;1.0;155.3;44.3;27.98;756.2;897.1;12.9;71.7;188.1
